loja,id,nome_produto,categoria,preco_brl,descricao,foto_url,botao,link_utm
Netcar Multimarcas - Loja 1,19996,Hyundai HB20 Comfort 2015,Hatch seminovo,49900.00,"Hyundai HB20 Comfort 2015, 67.039 km, câmbio manual, Flex, cor vermelha. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/banner/271_172032271_143360A38D92F5-9A8B-4A5F-AD68-C6CA164ED9F7-4.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/hb20-comfort-2015-iwo-xx44-19996?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19995,Chery Tiggo 5X Txs Turbo 2022,SUV seminovo,93900.00,"Chery Tiggo 5X Txs Turbo 2022, 70.395 km, câmbio automatico, Flex, cor vermelha. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/banner/271_172032271_143360A38D92F5-9A8B-4A5F-AD68-C6CA164ED9F7-4.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/tiggo-5x-txs-turbo-2022-jap-xx81-19995?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19993,Chevrolet Cruze Lt Sedan Turbo 2020,Sedan seminovo,93900.00,"Chevrolet Cruze Lt Sedan Turbo 2020, 76.459 km, câmbio automatico, Flex, cor marrom. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/banner/271_172032271_143360A38D92F5-9A8B-4A5F-AD68-C6CA164ED9F7-4.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/cruze-lt-sedan-turbo-2020-jab-xx72-19993?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19988,Chevrolet Tracker Premier Turbo 2018,SUV seminovo,89900.00,"Chevrolet Tracker Premier Turbo 2018, 75.365 km, câmbio automatico, Flex, cor prata. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/01092026TRACKER PREMIERE IYE3G25CAPA.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/tracker-premier-turbo-2018-iye-xx25-19988?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19987,Hyundai HB20X Premium 2015,Hatch seminovo,63900.00,"Hyundai HB20X Premium 2015, 130.000 km, câmbio automatico, Flex, cor prata. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/28082026hb20 x premium IWQ2G41CAPA.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/hb20x-premium-2015-iwq-xx41-19987?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19985,Hyundai HB20 Comfort 2016,Hatch seminovo,52900.00,"Hyundai HB20 Comfort 2016, 111.339 km, câmbio manual, Flex, cor marrom. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/banner/271_172032271_143360A38D92F5-9A8B-4A5F-AD68-C6CA164ED9F7-4.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/hb20-comfort-2016-ixa-xx71-19985?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19983,Hyundai HB20 Comfort Turbo 2024,Hatch seminovo,85900.00,"Hyundai HB20 Comfort Turbo 2024, 53.820 km, câmbio automatico, Flex, cor preta. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/banner/271_172032271_143360A38D92F5-9A8B-4A5F-AD68-C6CA164ED9F7-4.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/hb20-comfort-turbo-2024-jct-xx91-19983?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19982,Volkswagen Polo Highline Turbo 2024,Hatch seminovo,99900.00,"Volkswagen Polo Highline Turbo 2024, 35.937 km, câmbio automatico, Flex, cor preta. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/25082026POLO HIGHLINE JCL9H39CAPA.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/polo-highline-turbo-2024-jcl-xx39-19982?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19978,Volkswagen Polo Track First Edition 2023,Hatch seminovo,81900.00,"Volkswagen Polo Track First Edition 2023, 25.131 km, câmbio manual, Flex, cor vermelha. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/banner/271_172032271_143360A38D92F5-9A8B-4A5F-AD68-C6CA164ED9F7-4.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/polo-track-first-edition-2023-jcp-xx22-19978?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
Netcar Multimarcas - Loja 1,19974,Jeep Renegade Sport Turbo 2024,SUV seminovo,99900.00,"Jeep Renegade Sport Turbo 2024, 35.314 km, câmbio automatico, Flex, cor branca. Preço na ficha, fotos reais, troca aceita e financiamento em até 60x, sujeito à análise. Sem carro de leilão ou locadora. Retirada nas lojas da Av. Presidente Vargas, em Esteio.",https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/31082026RENEGADE SPORT JCJ0A41CAPA.png,Saiba mais,https://www.netcarmultimarcas.com.br/veiculo/renegade-sport-turbo-2024-jcj-xx41-19974?utm_source=google&utm_medium=organic&utm_campaign=gbp_produtos&utm_content=loja_1
