id,title,description,availability,condition,price,link,image_link,brand,additional_image_link
19785,KIA PICANTO EX 2012,80.000 km · Motor 1.0 · AUTOMATICO · Flex · Cor VERMELHA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,49900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/picanto-ex-2012-isv-xx76-19785,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/18062026picanto%20ex%20ISV8276CAPA.png,KIA,"https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/small/18062026picanto%20ex%20ISV8276CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/18062026picanto%20ex%20ISV8276CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/18062026picanto%20ex%20ISV82765.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/18062026picanto%20ex%20ISV82766.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/18062026picanto%20ex%20ISV82768.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/18062026picanto%20ex%20ISV82769.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/18062026picanto%20ex%20ISV82767.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/18062026picanto%20ex%20ISV827610.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/18062026picanto%20ex%20ISV82761.jpg"
19704,FIAT MOBI LIKE 2020,77.000 km · Motor 1.0 · MANUAL · Flex · Cor PRETA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,51900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/mobi-like-2020-jaf-xx60-19704,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/23032026mobi%20like%20JAF4F60CAPA.png,FIAT,"https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/small/23032026mobi%20like%20JAF4F60CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23032026mobi%20like%20JAF4F60CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23032026mobi%20like%20JAF4F604.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23032026mobi%20like%20JAF4F605.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23032026mobi%20like%20JAF4F607.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23032026mobi%20like%20JAF4F608.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23032026mobi%20like%20JAF4F606.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23032026mobi%20like%20JAF4F609.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23032026mobi%20like%20JAF4F6010.jpg"
19786,VOLKSWAGEN FOX COMFORTLINE 2017,127.000 km · Motor 1.6 · MANUAL · Flex · Cor PRETA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,56900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/fox-comfortline-2017-ixk-xx89-19786,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/15052026fox%20comfortline%20IXK1A89CAPA.png,VOLKSWAGEN,"https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/small/15052026fox%20comfortline%20IXK1A89CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/15052026fox%20comfortline%20IXK1A89CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/15052026fox%20comfortline%20IXK1A895.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/15052026fox%20comfortline%20IXK1A896.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/15052026fox%20comfortline%20IXK1A897.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/15052026fox%20comfortline%20IXK1A899.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/15052026fox%20comfortline%20IXK1A898.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/15052026fox%20comfortline%20IXK1A8910.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/15052026fox%20comfortline%20IXK1A892.jpg"
19840,VOLKSWAGEN FOX COMFORTLINE 2017,110.000 km · Motor 1.0 · MANUAL · Flex · Cor VERMELHA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,56900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/fox-comfortline-2017-ixn-xx61-19840,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/23062026FOX%20COMFORTLINE%20IXN6161CAPA.png,VOLKSWAGEN,"https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/small/23062026FOX%20COMFORTLINE%20IXN6161CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23062026FOX%20COMFORTLINE%20IXN6161CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23062026FOX%20COMFORTLINE%20IXN61615.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23062026FOX%20COMFORTLINE%20IXN61616.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23062026FOX%20COMFORTLINE%20IXN61618.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23062026FOX%20COMFORTLINE%20IXN61619.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23062026FOX%20COMFORTLINE%20IXN61617.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23062026FOX%20COMFORTLINE%20IXN616110.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/23062026FOX%20COMFORTLINE%20IXN61611.jpg"
19720,FORD KA SE PLUS 2021,106.000 km · Motor 1.0 · MANUAL · Flex · Cor PRETA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,57900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/ka-se-plus-2021-jaf-xx81-19720,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/17032026KA%20SE%20PLUS%20JAF1G81CAPA.png,FORD,"https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/small/17032026KA%20SE%20PLUS%20JAF1G81CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/17032026KA%20SE%20PLUS%20JAF1G81CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/17032026KA%20SE%20PLUS%20JAF1G812.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/17032026KA%20SE%20PLUS%20JAF1G813.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/17032026KA%20SE%20PLUS%20JAF1G814.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/17032026KA%20SE%20PLUS%20JAF1G816.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/17032026KA%20SE%20PLUS%20JAF1G815.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/17032026KA%20SE%20PLUS%20JAF1G817.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/17032026KA%20SE%20PLUS%20JAF1G818.jpg"
19811,JEEP RENEGADE LONGITUDE 2016,138.000 km · Motor 1.8 · MANUAL · Flex · Cor VERMELHA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,69900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/renegade-longitude-2016-iwx-xx66-19811,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/21052026RENEGADE%20IWX1G66CAPA.png,JEEP,"https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/small/21052026RENEGADE%20IWX1G66CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/21052026RENEGADE%20IWX1G66CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/21052026RENEGADE%20IWX1G661.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/21052026RENEGADE%20IWX1G662.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/21052026RENEGADE%20IWX1G663.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/21052026RENEGADE%20IWX1G665.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/21052026RENEGADE%20IWX1G664.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/21052026RENEGADE%20IWX1G6612.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/21052026RENEGADE%20IWX1G668.jpg"
19864,CHEVROLET TRACKER LTZ 2014,142.000 km · Motor 1.8 · AUTOMATICO · Flex · Cor PRATA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,69900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/tracker-ltz-2014-jbt-xx78-19864,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/25062026TRACKER%20LTZ%20JBT5G78CAPA.png,CHEVROLET,"https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/small/25062026TRACKER%20LTZ%20JBT5G78CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/25062026TRACKER%20LTZ%20JBT5G78CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/25062026TRACKER%20LTZ%20JBT5G786.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/25062026TRACKER%20LTZ%20JBT5G787.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/25062026TRACKER%20LTZ%20JBT5G789.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/25062026TRACKER%20LTZ%20JBT5G7810.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/25062026TRACKER%20LTZ%20JBT5G788.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/25062026TRACKER%20LTZ%20JBT5G7811.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/25062026TRACKER%20LTZ%20JBT5G785.jpg"
19759,FORD ECOSPORT SE 2019,112.700 km · Motor 1.5 · MANUAL · Flex · Cor PRETA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,72900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/ecosport-se-2019-iyp-xx15-19759,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/08052026ECOSPORT%20SE%20IYP2F15CAPA.png,FORD,"https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/small/08052026ECOSPORT%20SE%20IYP2F15CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/08052026ECOSPORT%20SE%20IYP2F15CAPA.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/08052026ECOSPORT%20SE%20IYP2F155.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/08052026ECOSPORT%20SE%20IYP2F156.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/08052026ECOSPORT%20SE%20IYP2F158.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/08052026ECOSPORT%20SE%20IYP2F159.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/08052026ECOSPORT%20SE%20IYP2F157.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/08052026ECOSPORT%20SE%20IYP2F1510.jpg,https://www.netcarmultimarcas.com.br/imagens/veiculos_automacar/big/08052026ECOSPORT%20SE%20IYP2F153.jpg"
19916,CHEVROLET ONIX SEDAN PLUS PREMIER 2 TURBO 2020,40.316 km · Motor 1.0 · AUTOMATICO · Flex · Cor BRANCA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,73900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/onix-sedan-plus-premier-2-turbo-2020-jac-xx87-19916,https://www.netcarmultimarcas.com.br/imagens/banner/271_172032271_143360A38D92F5-9A8B-4A5F-AD68-C6CA164ED9F7-4.png,CHEVROLET,
19913,JEEP RENEGADE SPORT 2020,130.889 km · Motor 1.8 · AUTOMATICO · Flex · Cor BRANCA. Seminovo vistoriado na Netcar Multimarcas (Esteio/RS). Financiamento e avaliação na troca.,in stock,used,75900.00 BRL,https://www.netcarmultimarcas.com.br/veiculo/renegade-sport-2020-izt-xx30-19913,https://www.netcarmultimarcas.com.br/imagens/banner/271_172032271_143360A38D92F5-9A8B-4A5F-AD68-C6CA164ED9F7-4.png,JEEP,
